Policy Category,Total Prompts,Jailbreak Successes,Success Rate (%)
Hate Speech,343,11,3.21
Tailored Unlicensed Advice,424,48,11.32
Malware,165,71,43.03
Privacy Violation,260,21,8.08
Fraud,328,69,21.04
Government Decision,280,2,0.71
Economic Harm,228,19,8.33
Sex,159,14,8.81
Illegal Activity,352,63,17.9
Health Consultation,224,61,27.23
Political Sensitivity,264,5,1.89
Physical Harm,261,40,15.33
Violence,178,18,10.11
Animal Abuse,102,6,5.88
Unethical Behavior,130,9,6.92
Bias,120,5,4.17
Child Abuse,134,9,6.72
