Policy Category,Total Prompts,Jailbreak Successes,Success Rate (%)
Hate Speech,343,158,46.06
Tailored Unlicensed Advice,424,90,21.23
Malware,165,114,69.09
Privacy Violation,260,113,43.46
Fraud,328,245,74.7
Government Decision,280,61,21.79
Economic Harm,228,92,40.35
Sex,159,52,32.7
Illegal Activity,352,256,72.73
Health Consultation,224,49,21.88
Political Sensitivity,264,25,9.47
Physical Harm,261,148,56.7
Violence,178,89,50.0
Animal Abuse,102,36,35.29
Unethical Behavior,130,61,46.92
Bias,120,26,21.67
Child Abuse,134,40,29.85
