Policy Category,Total Prompts,Jailbreak Successes,Success Rate (%)
Hate Speech,343,203,59.18
Tailored Unlicensed Advice,424,50,11.79
Malware,165,126,76.36
Privacy Violation,260,116,44.62
Fraud,328,267,81.4
Government Decision,280,59,21.07
Economic Harm,228,109,47.81
Sex,159,69,43.4
Illegal Activity,352,326,92.61
Health Consultation,224,17,7.59
Political Sensitivity,264,16,6.06
Physical Harm,261,155,59.39
Violence,178,108,60.67
Animal Abuse,102,50,49.02
Unethical Behavior,130,60,46.15
Bias,120,29,24.17
Child Abuse,134,39,29.1
