Policy Category,Total Prompts,Jailbreak Successes,Success Rate (%)
Hate Speech,343,174,50.73
Tailored Unlicensed Advice,424,100,23.58
Malware,165,154,93.33
Privacy Violation,260,165,63.46
Fraud,328,264,80.49
Government Decision,280,88,31.43
Economic Harm,228,95,41.67
Sex,159,91,57.23
Illegal Activity,352,273,77.56
Health Consultation,224,85,37.95
Political Sensitivity,264,26,9.85
Physical Harm,261,151,57.85
Violence,178,99,55.62
Animal Abuse,102,49,48.04
Unethical Behavior,130,53,40.77
Bias,120,36,30.0
Child Abuse,134,56,41.79
