Policy Category,Total Prompts,Jailbreak Successes,Success Rate (%)
Hate Speech,343,61,17.78
Tailored Unlicensed Advice,424,155,36.56
Malware,165,132,80.0
Privacy Violation,260,130,50.0
Fraud,328,206,62.8
Government Decision,280,64,22.86
Economic Harm,228,87,38.16
Sex,159,53,33.33
Illegal Activity,352,183,51.99
Health Consultation,224,100,44.64
Political Sensitivity,264,28,10.61
Physical Harm,261,98,37.55
Violence,178,55,30.9
Animal Abuse,102,38,37.25
Unethical Behavior,130,34,26.15
Bias,120,38,31.67
Child Abuse,134,47,35.07
