Policy Category,Total Prompts,Jailbreak Successes,Success Rate (%)
Hate Speech,343,127,37.03
Tailored Unlicensed Advice,424,93,21.93
Malware,165,115,69.7
Privacy Violation,260,112,43.08
Fraud,328,244,74.39
Government Decision,280,47,16.79
Economic Harm,228,91,39.91
Sex,159,49,30.82
Illegal Activity,352,242,68.75
Health Consultation,224,49,21.88
Political Sensitivity,264,10,3.79
Physical Harm,261,102,39.08
Violence,178,85,47.75
Animal Abuse,102,36,35.29
Unethical Behavior,130,42,32.31
Bias,120,14,11.67
Child Abuse,134,15,11.19
