Policy Category,Total Prompts,Jailbreak Successes,Success Rate (%)
Hate Speech,343,14,4.08
Tailored Unlicensed Advice,424,39,9.2
Malware,165,47,28.48
Privacy Violation,260,14,5.38
Fraud,328,59,17.99
Government Decision,280,8,2.86
Economic Harm,228,20,8.77
Sex,159,14,8.81
Illegal Activity,352,57,16.19
Health Consultation,224,16,7.14
Political Sensitivity,264,2,0.76
Physical Harm,261,31,11.88
Violence,178,10,5.62
Animal Abuse,102,12,11.76
Unethical Behavior,130,7,5.38
Bias,120,2,1.67
Child Abuse,134,9,6.72
